fen,move,score,outcome
7k/8/r7/8/7N/1n2K3/8/6N1 b - - 4 40,b3a1,-180,0.5
7k/8/r7/8/7N/4K3/8/n5N1 w - - 5 40,g1e2,-180,0.5
7k/8/r7/8/7N/4K3/4N3/n7 b - - 6 41,a1c2,-180,0.5
7k/8/r7/8/7N/4K3/2n1N3/8 w - - 7 41,e3d2,-180,0.5
7k/8/r7/8/7N/8/2nKN3/8 b - - 8 42,c2a3,-180,0.5
7k/8/r7/8/7N/n7/3KN3/8 w - - 9 42,e2c1,-180,0.5
7k/8/r7/8/7N/n7/3K4/2N5 b - - 10 43,a3b1,-180,0.5
7k/8/r7/8/7N/8/3K4/1nN5 w - - 11 43,d2d1,-180,0.5
7k/8/r7/8/7N/8/8/1nNK4 b - - 12 44,b1a3,-180,0.5
7k/8/r7/8/7N/n7/8/2NK4 w - - 13 44,c1a2,-180,0.5
7k/8/r7/8/7N/n7/N7/3K4 b - - 14 45,a3b1,-180,0.5
7k/8/r7/8/7N/8/N7/1n1K4 w - - 15 45,a2c1,-180,0.5
7k/8/r7/8/7N/8/8/1nNK4 b - - 16 46,b1a3,-180,0.5
7k/8/r7/8/7N/n7/8/2NK4 w - - 17 46,c1a2,-180,0.5
7k/8/r7/8/7N/n7/N7/3K4 b - - 18 47,a3b1,-180,0.5
7k/8/r7/8/7N/8/N7/1n1K4 w - - 19 47,a2c1,25,0.5
rnbqkbnr/1p1p1ppp/p7/2p1p3/2P2P2/N7/PP1PP1PP/R1BQKBNR w KQkq - 0 1,e1f2,0,0
rnbqkbnr/1p1p1ppp/p7/2p1p3/2P2P2/N7/PP1PPKPP/R1BQ1BNR b kq - 1 2,d8c7,0,0
rnb1kbnr/1pqp1ppp/p7/2p1p3/2P2P2/N7/PP1PPKPP/R1BQ1BNR w kq - 2 2,f2g3,0,0
rnb1kbnr/1pqp1ppp/p7/2p1p3/2P2P2/N5K1/PP1PP1PP/R1BQ1BNR b kq - 3 3,b8c6,0,0
r1b1kbnr/1pqp1ppp/p1n5/2p1p3/2P2P2/N5K1/PP1PP1PP/R1BQ1BNR w kq - 4 3,g3h4,0,0
r1b1kbnr/1pqp1ppp/p1n5/2p1p3/2P2P1K/N7/PP1PP1PP/R1BQ1BNR b kq - 5 4,b7b6,0,0
r1b1kbnr/2qp1ppp/ppn5/2p1p3/2P2P1K/N7/PP1PP1PP/R1BQ1BNR w kq - 0 4,h4h5,0,0
r1b1kbnr/2qp1ppp/ppn5/2p1p2K/2P2P2/N7/PP1PP1PP/R1BQ1BNR b kq - 1 5,f7f5,0,0
r1b1kbnr/2qp2pp/ppn5/2p1pp1K/2P2P2/N7/PP1PP1PP/R1BQ1BNR w kq f6 0 5,f4e5,0,0
r1b1kbnr/2qp2pp/ppn5/2p1Pp1K/2P5/N7/PP1PP1PP/R1BQ1BNR b kq - 0 6,f8e7,-99997,0
r1b1k1nr/2qpb1pp/ppn5/2p1Pp1K/2P5/N7/PP1PP1PP/R1BQ1BNR w kq - 1 6,b2b3,-99998,0
r1b1k1nr/2qpb1pp/ppn5/2p1Pp1K/2P5/NP6/P2PP1PP/R1BQ1BNR b kq - 0 7,g7g6,-99999,0
rnbqk1nr/pp1p1ppp/2pb4/4p3/P7/4P3/1PPPNPPP/RNBQKB1R w KQkq - 0 1,e2c3,0,0.5
rnbqk1nr/pp1p1ppp/2pb4/4p3/P7/2N1P3/1PPP1PPP/RNBQKB1R b KQkq - 1 2,d8c7,10,0.5
rnb1k1nr/ppqp1ppp/2pb4/4p3/P7/2N1P3/1PPP1PPP/RNBQKB1R w KQkq - 2 2,d1e2,0,0.5
